127.0.0.1, 2016-04-07 19:22:57, GET, /projectify/static/js/share.js, HTTP/1.1, 304, 0.000358
127.0.0.1, 2016-04-07 19:22:57, GET, /projectify/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001179
127.0.0.1, 2016-04-07 19:22:57, GET, /projectify/static/css/calendar.css, HTTP/1.1, 304, 0.000394
127.0.0.1, 2016-04-07 19:22:57, GET, /projectify/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000253
127.0.0.1, 2016-04-07 19:22:57, GET, /projectify/static/js/jquery.js, HTTP/1.1, 304, 0.000353
127.0.0.1, 2016-04-07 19:22:57, GET, /projectify/static/images/background.jpg, HTTP/1.1, 304, 0.000608
127.0.0.1, 2016-04-07 19:22:57, GET, /projectify/static/images/twitter.png, HTTP/1.1, 304, 0.001110
127.0.0.1, 2016-04-07 19:22:57, GET, /projectify/static/images/gplus-32.png, HTTP/1.1, 304, 0.000564
127.0.0.1, 2016-04-07 19:22:57, GET, /projectify/static/images/facebook.png, HTTP/1.1, 304, 0.000756
127.0.0.1, 2016-04-07 19:23:18, GET, /projectify/default/index, HTTP/1.1, 200, 0.018941
127.0.0.1, 2016-04-07 19:23:18, GET, /projectify/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000310
127.0.0.1, 2016-04-07 19:23:18, GET, /projectify/static/js/jquery.js, HTTP/1.1, 304, 0.000562
127.0.0.1, 2016-04-07 19:23:18, GET, /projectify/static/css/calendar.css, HTTP/1.1, 304, 0.000574
127.0.0.1, 2016-04-07 19:23:18, GET, /projectify/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000398
127.0.0.1, 2016-04-07 19:23:18, GET, /projectify/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.003426
127.0.0.1, 2016-04-07 19:23:18, GET, /projectify/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.005448
127.0.0.1, 2016-04-07 19:23:18, GET, /projectify/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000530
127.0.0.1, 2016-04-07 19:23:18, GET, /projectify/static/js/web2py.js, HTTP/1.1, 304, 0.000192
127.0.0.1, 2016-04-07 19:23:18, GET, /projectify/static/js/calendar.js, HTTP/1.1, 304, 0.000197
127.0.0.1, 2016-04-07 19:23:18, GET, /projectify/static/js/share.js, HTTP/1.1, 304, 0.000775
127.0.0.1, 2016-04-07 19:23:18, GET, /projectify/static/images/background.jpg, HTTP/1.1, 304, 0.000251
127.0.0.1, 2016-04-07 19:23:18, GET, /projectify/static/images/twitter.png, HTTP/1.1, 304, 0.000402
127.0.0.1, 2016-04-07 19:23:18, GET, /projectify/static/images/facebook.png, HTTP/1.1, 304, 0.001257
127.0.0.1, 2016-04-07 19:23:18, GET, /projectify/static/images/gplus-32.png, HTTP/1.1, 304, 0.000806
127.0.0.1, 2016-04-07 19:23:19, GET, /projectify/default/index, HTTP/1.1, 200, 0.027114
127.0.0.1, 2016-04-07 19:23:19, GET, /projectify/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000457
127.0.0.1, 2016-04-07 19:23:19, GET, /projectify/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000849
127.0.0.1, 2016-04-07 19:23:19, GET, /projectify/static/css/calendar.css, HTTP/1.1, 304, 0.000338
127.0.0.1, 2016-04-07 19:23:19, GET, /projectify/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001179
127.0.0.1, 2016-04-07 19:23:19, GET, /projectify/static/js/jquery.js, HTTP/1.1, 304, 0.000318
127.0.0.1, 2016-04-07 19:23:19, GET, /projectify/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000635
127.0.0.1, 2016-04-07 19:23:19, GET, /projectify/static/js/share.js, HTTP/1.1, 304, 0.000202
127.0.0.1, 2016-04-07 19:23:19, GET, /projectify/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000360
127.0.0.1, 2016-04-07 19:23:19, GET, /projectify/static/js/web2py.js, HTTP/1.1, 304, 0.000222
127.0.0.1, 2016-04-07 19:23:19, GET, /projectify/static/js/calendar.js, HTTP/1.1, 304, 0.002796
127.0.0.1, 2016-04-07 19:23:19, GET, /projectify/static/images/background.jpg, HTTP/1.1, 304, 0.000253
127.0.0.1, 2016-04-07 19:23:19, GET, /projectify/static/images/gplus-32.png, HTTP/1.1, 304, 0.000243
127.0.0.1, 2016-04-07 19:23:19, GET, /projectify/static/images/facebook.png, HTTP/1.1, 304, 0.001016
127.0.0.1, 2016-04-07 19:23:19, GET, /projectify/static/images/twitter.png, HTTP/1.1, 304, 0.001853
127.0.0.1, 2016-04-07 19:23:28, GET, /projectify/default/index, HTTP/1.1, 200, 0.030876
127.0.0.1, 2016-04-07 19:23:28, GET, /projectify/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000324
127.0.0.1, 2016-04-07 19:23:28, GET, /projectify/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000365
127.0.0.1, 2016-04-07 19:23:29, GET, /projectify/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000745
127.0.0.1, 2016-04-07 19:23:29, GET, /projectify/static/js/jquery.js, HTTP/1.1, 304, 0.000545
127.0.0.1, 2016-04-07 19:23:29, GET, /projectify/static/css/calendar.css, HTTP/1.1, 304, 0.000483
127.0.0.1, 2016-04-07 19:23:29, GET, /projectify/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000324
127.0.0.1, 2016-04-07 19:23:29, GET, /projectify/static/js/web2py.js, HTTP/1.1, 304, 0.001232
127.0.0.1, 2016-04-07 19:23:29, GET, /projectify/static/js/share.js, HTTP/1.1, 304, 0.001363
127.0.0.1, 2016-04-07 19:23:29, GET, /projectify/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001653
127.0.0.1, 2016-04-07 19:23:29, GET, /projectify/static/js/calendar.js, HTTP/1.1, 304, 0.000662
127.0.0.1, 2016-04-07 19:23:29, GET, /projectify/static/images/background.jpg, HTTP/1.1, 304, 0.000440
127.0.0.1, 2016-04-07 19:23:29, GET, /projectify/static/images/facebook.png, HTTP/1.1, 304, 0.000369
127.0.0.1, 2016-04-07 19:23:29, GET, /projectify/static/images/gplus-32.png, HTTP/1.1, 304, 0.000572
127.0.0.1, 2016-04-07 19:23:29, GET, /projectify/static/images/twitter.png, HTTP/1.1, 304, 0.001864
127.0.0.1, 2016-04-07 19:23:46, GET, /projectify/default/index, HTTP/1.1, 200, 0.019248
127.0.0.1, 2016-04-07 19:23:46, GET, /projectify/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000430
127.0.0.1, 2016-04-07 19:23:46, GET, /projectify/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000398
127.0.0.1, 2016-04-07 19:23:46, GET, /projectify/static/js/calendar.js, HTTP/1.1, 304, 0.000333
127.0.0.1, 2016-04-07 19:23:46, GET, /projectify/static/js/jquery.js, HTTP/1.1, 304, 0.001222
127.0.0.1, 2016-04-07 19:23:46, GET, /projectify/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000360
127.0.0.1, 2016-04-07 19:23:46, GET, /projectify/static/css/calendar.css, HTTP/1.1, 304, 0.000338
127.0.0.1, 2016-04-07 19:23:46, GET, /projectify/static/js/share.js, HTTP/1.1, 304, 0.000290
127.0.0.1, 2016-04-07 19:23:46, GET, /projectify/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000285
127.0.0.1, 2016-04-07 19:23:46, GET, /projectify/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000286
127.0.0.1, 2016-04-07 19:23:46, GET, /projectify/static/js/web2py.js, HTTP/1.1, 304, 0.000289
127.0.0.1, 2016-04-07 19:23:46, GET, /projectify/static/images/background.jpg, HTTP/1.1, 304, 0.000378
127.0.0.1, 2016-04-07 19:23:46, GET, /projectify/static/images/twitter.png, HTTP/1.1, 304, 0.000409
127.0.0.1, 2016-04-07 19:23:46, GET, /projectify/static/images/gplus-32.png, HTTP/1.1, 304, 0.000558
127.0.0.1, 2016-04-07 19:23:46, GET, /projectify/static/images/facebook.png, HTTP/1.1, 304, 0.000643
127.0.0.1, 2016-04-07 19:24:51, GET, /projectify/default/index, HTTP/1.1, 500, 0.023083
127.0.0.1, 2016-04-07 19:24:53, GET, /admin/default/ticket/projectify/127.0.0.1.2016-04-07.19-24-51.fe1f1065-949d-4605-a459-35d5895f2398, HTTP/1.1, 200, 0.041206
127.0.0.1, 2016-04-07 19:25:02, GET, /projectify/default/index, HTTP/1.1, 500, 0.018615
127.0.0.1, 2016-04-07 19:25:11, GET, /admin/default/ticket/projectify/127.0.0.1.2016-04-07.19-25-02.6b712ed1-b9eb-4317-90a8-a654b33c58ec, HTTP/1.1, 200, 0.066174
127.0.0.1, 2016-04-07 19:25:27, GET, /projectify/default/index, HTTP/1.1, 200, 0.014771
127.0.0.1, 2016-04-07 19:25:27, GET, /projectify/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000349
127.0.0.1, 2016-04-07 19:25:27, GET, /projectify/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000489
127.0.0.1, 2016-04-07 19:25:27, GET, /projectify/static/js/jquery.js, HTTP/1.1, 304, 0.000331
127.0.0.1, 2016-04-07 19:25:27, GET, /projectify/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000310
127.0.0.1, 2016-04-07 19:25:27, GET, /projectify/static/js/share.js, HTTP/1.1, 304, 0.000305
127.0.0.1, 2016-04-07 19:25:27, GET, /projectify/static/js/web2py.js, HTTP/1.1, 304, 0.000208
127.0.0.1, 2016-04-07 19:25:27, GET, /projectify/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000394
127.0.0.1, 2016-04-07 19:25:27, GET, /projectify/static/js/calendar.js, HTTP/1.1, 304, 0.005483
127.0.0.1, 2016-04-07 19:25:27, GET, /projectify/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001004
127.0.0.1, 2016-04-07 19:25:27, GET, /projectify/static/css/calendar.css, HTTP/1.1, 304, 0.000869
127.0.0.1, 2016-04-07 19:25:28, GET, /projectify/static/images/background.jpg, HTTP/1.1, 304, 0.000351
127.0.0.1, 2016-04-07 19:25:28, GET, /projectify/static/images/twitter.png, HTTP/1.1, 304, 0.000403
127.0.0.1, 2016-04-07 19:25:28, GET, /projectify/static/images/facebook.png, HTTP/1.1, 304, 0.000366
127.0.0.1, 2016-04-07 19:25:28, GET, /projectify/static/images/gplus-32.png, HTTP/1.1, 304, 0.000345
127.0.0.1, 2016-04-07 19:25:28, GET, /projectify/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000405
127.0.0.1, 2016-04-07 19:26:05, GET, /projectify/default/index, HTTP/1.1, 200, 0.021880
127.0.0.1, 2016-04-07 19:26:05, GET, /projectify/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000320
127.0.0.1, 2016-04-07 19:26:05, GET, /projectify/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000363
127.0.0.1, 2016-04-07 19:26:05, GET, /projectify/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000896
127.0.0.1, 2016-04-07 19:26:05, GET, /projectify/static/css/calendar.css, HTTP/1.1, 304, 0.000719
127.0.0.1, 2016-04-07 19:26:05, GET, /projectify/static/js/web2py.js, HTTP/1.1, 304, 0.000299
127.0.0.1, 2016-04-07 19:26:05, GET, /projectify/static/js/jquery.js, HTTP/1.1, 304, 0.001157
127.0.0.1, 2016-04-07 19:26:05, GET, /projectify/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000322
127.0.0.1, 2016-04-07 19:26:05, GET, /projectify/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000860
127.0.0.1, 2016-04-07 19:26:05, GET, /projectify/static/js/share.js, HTTP/1.1, 304, 0.000331
127.0.0.1, 2016-04-07 19:26:05, GET, /projectify/static/js/calendar.js, HTTP/1.1, 304, 0.002261
127.0.0.1, 2016-04-07 19:26:05, GET, /projectify/static/images/background.jpg, HTTP/1.1, 304, 0.000315
127.0.0.1, 2016-04-07 19:26:05, GET, /projectify/static/images/gplus-32.png, HTTP/1.1, 304, 0.000253
127.0.0.1, 2016-04-07 19:26:05, GET, /projectify/static/images/facebook.png, HTTP/1.1, 304, 0.000341
127.0.0.1, 2016-04-07 19:26:05, GET, /projectify/static/images/twitter.png, HTTP/1.1, 304, 0.001605
127.0.0.1, 2016-04-07 19:38:38, GET, /projectify/default/user/register, HTTP/1.1, 200, 0.018342
127.0.0.1, 2016-04-08 22:29:42, GET, /, HTTP/1.1, 303, 0.000932
127.0.0.1, 2016-04-08 22:29:42, GET, /welcome/default/index, HTTP/1.1, 200, 0.294399
127.0.0.1, 2016-04-08 22:29:45, GET, /, HTTP/1.1, 303, 0.000302
127.0.0.1, 2016-04-08 22:29:45, GET, /welcome/default/index, HTTP/1.1, 200, 0.015522
127.0.0.1, 2016-04-08 22:29:48, GET, /admin/default/index, HTTP/1.1, 200, 0.163743
127.0.0.1, 2016-04-08 22:29:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000271
127.0.0.1, 2016-04-08 22:29:51, POST, /admin/default/index, HTTP/1.1, 303, 0.026705
127.0.0.1, 2016-04-08 22:29:51, GET, /admin/default/site, HTTP/1.1, 200, 0.064037
127.0.0.1, 2016-04-08 22:29:52, POST, /admin/default/check_version, HTTP/1.1, 200, 0.603752
127.0.0.1, 2016-04-08 22:30:02, GET, /projectify/default/index, HTTP/1.1, 200, 0.162783
127.0.0.1, 2016-04-08 22:39:28, GET, /projectify/default/index, HTTP/1.1, 500, 0.151149
127.0.0.1, 2016-04-08 22:39:30, GET, /admin/default/ticket/projectify/127.0.0.1.2016-04-08.22-39-28.a10039b4-866e-4140-87fa-2fe1cda68adf, HTTP/1.1, 200, 0.112761
127.0.0.1, 2016-04-08 22:42:59, GET, /projectify/default/index, HTTP/1.1, 500, 0.017041
127.0.0.1, 2016-04-08 22:43:02, GET, /admin/default/ticket/projectify/127.0.0.1.2016-04-08.22-42-59.8b31ed68-fbef-462d-9286-c2feac9276fc, HTTP/1.1, 200, 0.050490
127.0.0.1, 2016-04-08 22:43:41, GET, /projectify/default/index, HTTP/1.1, 500, 0.013970
127.0.0.1, 2016-04-08 22:43:46, GET, /admin/default/ticket/projectify/127.0.0.1.2016-04-08.22-43-41.443108e1-018e-4590-ac8a-f2be19442374, HTTP/1.1, 200, 0.055982
127.0.0.1, 2016-04-08 22:44:43, GET, /projectify/default/index, HTTP/1.1, 500, 0.015087
